"Country","variable","value"
"Peru","Undernourished2011_2013","11.8"
"Philippines","Undernourished2011_2013","16.2"
"Qatar","Undernourished2011_2013",NA
"Romania","Undernourished2011_2013","0.4"
"Russian Federation","Undernourished2011_2013","1.8"
"Rwanda","Undernourished2011_2013","29.7"
"Saudi Arabia","Undernourished2011_2013","1.6"
"Senegal","Undernourished2011_2013","21.6"
"Serbia","Undernourished2011_2013","4.1"
"Sierra Leone","Undernourished2011_2013","29.4"
"Slovak Republic","Undernourished2011_2013","4.6"
"Somalia","Undernourished2011_2013",NA
"South Africa","Undernourished2011_2013","2.1"
"Sri Lanka","Undernourished2011_2013","22.8"
"Sudan (former)","Undernourished2011_2013","38.9"
"Suriname","Undernourished2011_2013","10.2"
"Swaziland","Undernourished2011_2013","35.8"
"Syrian Arab Republic","Undernourished2011_2013","6"
"Tajikistan","Undernourished2011_2013","30.2"
"Tanzania","Undernourished2011_2013","33"
"Thailand","Undernourished2011_2013","5.8"
"Timor-Leste","Undernourished2011_2013","38.3"
"Togo","Undernourished2011_2013","15.5"
"Trinidad & Tobago","Undernourished2011_2013","7.6"
"Tunisia","Undernourished2011_2013","0.9"
"Turkey","Undernourished2011_2013","0.6"
"Turkmenistan","Undernourished2011_2013","2.5"
"Uganda","Undernourished2011_2013","30.1"
"Ukraine","Undernourished2011_2013","0.8"
"Uruguay","Undernourished2011_2013","6.2"
"Uzbekistan","Undernourished2011_2013","5.7"
"Venezuela, RB","Undernourished2011_2013","2.1"
"Vietnam","Undernourished2011_2013","8.3"
"Yemen, Rep.","Undernourished2011_2013","28.8"
"Zambia","Undernourished2011_2013","43.1"
"Zimbabwe","Undernourished2011_2013","30.5"
"Afghanistan","PercentUnderweightChildrenLT5_1998_1992",NA
"Albania","PercentUnderweightChildrenLT5_1998_1992","14.1"
"Algeria","PercentUnderweightChildrenLT5_1998_1992","9.2"
"Angola","PercentUnderweightChildrenLT5_1998_1992","37.8"
"Argentina","PercentUnderweightChildrenLT5_1998_1992","3.4"
"Armenia","PercentUnderweightChildrenLT5_1998_1992",NA
"Azerbaijan","PercentUnderweightChildrenLT5_1998_1992",NA
"Bahrain","PercentUnderweightChildrenLT5_1998_1992","6.3"
"Bangladesh","PercentUnderweightChildrenLT5_1998_1992","61.5"
"Belarus","PercentUnderweightChildrenLT5_1998_1992",NA
"Benin","PercentUnderweightChildrenLT5_1998_1992","27"
"Bhutan","PercentUnderweightChildrenLT5_1998_1992","34"
"Bolivia","PercentUnderweightChildrenLT5_1998_1992","9.7"
"Bosnia & Herzegovina","PercentUnderweightChildrenLT5_1998_1992",NA
"Botswana","PercentUnderweightChildrenLT5_1998_1992","17"
"Brazil","PercentUnderweightChildrenLT5_1998_1992","5.3"
"Bulgaria","PercentUnderweightChildrenLT5_1998_1992","4"
"Burkina Faso","PercentUnderweightChildrenLT5_1998_1992","37.8"
"Burundi","PercentUnderweightChildrenLT5_1998_1992","35.1"
"Cambodia","PercentUnderweightChildrenLT5_1998_1992","47.6"
"Cameroon","PercentUnderweightChildrenLT5_1998_1992","18"
"Central African Republic","PercentUnderweightChildrenLT5_1998_1992","25.4"
"Chad","PercentUnderweightChildrenLT5_1998_1992","38.2"
"Chile","PercentUnderweightChildrenLT5_1998_1992","0.9"
"China","PercentUnderweightChildrenLT5_1998_1992","12.6"
"Colombia","PercentUnderweightChildrenLT5_1998_1992","8.8"
"Comoros","PercentUnderweightChildrenLT5_1998_1992","15.2"
"Congo, Dem. Rep.","PercentUnderweightChildrenLT5_1998_1992","21.5"
"Congo, Rep.","PercentUnderweightChildrenLT5_1998_1992","15.3"
"Costa Rica","PercentUnderweightChildrenLT5_1998_1992","2.5"
"Croatia","PercentUnderweightChildrenLT5_1998_1992",NA
"Cuba","PercentUnderweightChildrenLT5_1998_1992","4.4"
"Côte d'Ivoire","PercentUnderweightChildrenLT5_1998_1992","20.6"
"Djibouti","PercentUnderweightChildrenLT5_1998_1992","20.2"
"Dominican Republic","PercentUnderweightChildrenLT5_1998_1992","8.4"
"Ecuador","PercentUnderweightChildrenLT5_1998_1992","12.6"
"Egypt, Arab Rep.","PercentUnderweightChildrenLT5_1998_1992","10.5"
"El Salvador","PercentUnderweightChildrenLT5_1998_1992","11.1"
"Eritrea","PercentUnderweightChildrenLT5_1998_1992",NA
"Estonia","PercentUnderweightChildrenLT5_1998_1992",NA
"Ethiopia","PercentUnderweightChildrenLT5_1998_1992","41.9"
"Fiji","PercentUnderweightChildrenLT5_1998_1992","9"
"Gabon","PercentUnderweightChildrenLT5_1998_1992","11.4"
"Gambia, The","PercentUnderweightChildrenLT5_1998_1992","20.8"
"Georgia","PercentUnderweightChildrenLT5_1998_1992",NA
"Ghana","PercentUnderweightChildrenLT5_1998_1992","24.4"
"Guatemala","PercentUnderweightChildrenLT5_1998_1992","22"
"Guinea","PercentUnderweightChildrenLT5_1998_1992","23.6"
"Guinea-Bissau","PercentUnderweightChildrenLT5_1998_1992","25.3"
"Guyana","PercentUnderweightChildrenLT5_1998_1992","15.6"
"Haiti","PercentUnderweightChildrenLT5_1998_1992","23.7"
"Honduras","PercentUnderweightChildrenLT5_1998_1992","15.8"
"India","PercentUnderweightChildrenLT5_1998_1992","55.5"
"Indonesia","PercentUnderweightChildrenLT5_1998_1992","31"
"Iran, Islamic Rep.","PercentUnderweightChildrenLT5_1998_1992","16.5"
"Iraq","PercentUnderweightChildrenLT5_1998_1992","10.4"
"Jamaica","PercentUnderweightChildrenLT5_1998_1992","5.2"
"Jordan","PercentUnderweightChildrenLT5_1998_1992","4.8"
"Kazakhstan","PercentUnderweightChildrenLT5_1998_1992",NA
"Kenya","PercentUnderweightChildrenLT5_1998_1992","19.9"
"Kuwait","PercentUnderweightChildrenLT5_1998_1992","5.9"
"Kyrgyz Republic","PercentUnderweightChildrenLT5_1998_1992",NA
"Lao PDR","PercentUnderweightChildrenLT5_1998_1992","42.4"
"Latvia","PercentUnderweightChildrenLT5_1998_1992",NA
"Lebanon","PercentUnderweightChildrenLT5_1998_1992","5.2"
"Lesotho","PercentUnderweightChildrenLT5_1998_1992","13.8"
"Liberia","PercentUnderweightChildrenLT5_1998_1992","19"
"Libya","PercentUnderweightChildrenLT5_1998_1992","7.3"
"Lithuania","PercentUnderweightChildrenLT5_1998_1992",NA
"Macedonia, FYR","PercentUnderweightChildrenLT5_1998_1992",NA
"Madagascar","PercentUnderweightChildrenLT5_1998_1992","35.5"
"Malawi","PercentUnderweightChildrenLT5_1998_1992","24.4"
"Malaysia","PercentUnderweightChildrenLT5_1998_1992","22.1"
"Mali","PercentUnderweightChildrenLT5_1998_1992","31.3"
"Mauritania","PercentUnderweightChildrenLT5_1998_1992","43.3"
"Mauritius","PercentUnderweightChildrenLT5_1998_1992","13.9"
"Mexico","PercentUnderweightChildrenLT5_1998_1992","9.6"
"Moldova","PercentUnderweightChildrenLT5_1998_1992",NA
"Mongolia","PercentUnderweightChildrenLT5_1998_1992","11.8"
"Montenegro","PercentUnderweightChildrenLT5_1998_1992",NA
"Morocco","PercentUnderweightChildrenLT5_1998_1992","8.1"
"Mozambique","PercentUnderweightChildrenLT5_1998_1992","24.4"
"Myanmar","PercentUnderweightChildrenLT5_1998_1992","32.5"
"Namibia","PercentUnderweightChildrenLT5_1998_1992","21.5"
"Nepal","PercentUnderweightChildrenLT5_1998_1992","45.6"
"Nicaragua","PercentUnderweightChildrenLT5_1998_1992","10.4"
"Niger","PercentUnderweightChildrenLT5_1998_1992","41"
"Nigeria","PercentUnderweightChildrenLT5_1998_1992","35.1"
"North Korea","PercentUnderweightChildrenLT5_1998_1992","25.5"
"Oman","PercentUnderweightChildrenLT5_1998_1992","18.6"
"Pakistan","PercentUnderweightChildrenLT5_1998_1992","39"
"Panama","PercentUnderweightChildrenLT5_1998_1992","8.2"
"Papua New Guinea","PercentUnderweightChildrenLT5_1998_1992","24.2"
"Paraguay","PercentUnderweightChildrenLT5_1998_1992","2.8"
"Peru","PercentUnderweightChildrenLT5_1998_1992","8.8"
"Philippines","PercentUnderweightChildrenLT5_1998_1992","29.9"
"Qatar","PercentUnderweightChildrenLT5_1998_1992",NA
"Romania","PercentUnderweightChildrenLT5_1998_1992","5"
"Russian Federation","PercentUnderweightChildrenLT5_1998_1992",NA
"Rwanda","PercentUnderweightChildrenLT5_1998_1992","24.3"
"Saudi Arabia","PercentUnderweightChildrenLT5_1998_1992","12.3"
"Senegal","PercentUnderweightChildrenLT5_1998_1992","20.4"
"Serbia","PercentUnderweightChildrenLT5_1998_1992",NA
"Sierra Leone","PercentUnderweightChildrenLT5_1998_1992","25.4"
"Slovak Republic","PercentUnderweightChildrenLT5_1998_1992",NA
"Somalia","PercentUnderweightChildrenLT5_1998_1992",NA
"South Africa","PercentUnderweightChildrenLT5_1998_1992","11"
"Sri Lanka","PercentUnderweightChildrenLT5_1998_1992","31"
"Sudan (former)","PercentUnderweightChildrenLT5_1998_1992","34.5"
"Suriname","PercentUnderweightChildrenLT5_1998_1992","11.4"
"Swaziland","PercentUnderweightChildrenLT5_1998_1992","6.8"
"Syrian Arab Republic","PercentUnderweightChildrenLT5_1998_1992","14.7"
"Tajikistan","PercentUnderweightChildrenLT5_1998_1992",NA
"Tanzania","PercentUnderweightChildrenLT5_1998_1992","25.1"
"Thailand","PercentUnderweightChildrenLT5_1998_1992","16.7"
"Timor-Leste","PercentUnderweightChildrenLT5_1998_1992",NA
"Togo","PercentUnderweightChildrenLT5_1998_1992","21.7"
"Trinidad & Tobago","PercentUnderweightChildrenLT5_1998_1992","4.4"
"Tunisia","PercentUnderweightChildrenLT5_1998_1992","7.9"
"Turkey","PercentUnderweightChildrenLT5_1998_1992","6.7"
"Turkmenistan","PercentUnderweightChildrenLT5_1998_1992",NA
"Uganda","PercentUnderweightChildrenLT5_1998_1992","19.7"
"Ukraine","PercentUnderweightChildrenLT5_1998_1992",NA
"Uruguay","PercentUnderweightChildrenLT5_1998_1992","5.2"
"Uzbekistan","PercentUnderweightChildrenLT5_1998_1992",NA
"Venezuela, RB","PercentUnderweightChildrenLT5_1998_1992","6.7"
"Vietnam","PercentUnderweightChildrenLT5_1998_1992","40.7"
"Yemen, Rep.","PercentUnderweightChildrenLT5_1998_1992","48.5"
"Zambia","PercentUnderweightChildrenLT5_1998_1992","21.2"
"Zimbabwe","PercentUnderweightChildrenLT5_1998_1992","8"
"Afghanistan","PercentUnderweightChildrenLT5_1993_1997","44.9"
"Albania","PercentUnderweightChildrenLT5_1993_1997","12.8"
"Algeria","PercentUnderweightChildrenLT5_1993_1997","11.3"
"Angola","PercentUnderweightChildrenLT5_1993_1997","37"
"Argentina","PercentUnderweightChildrenLT5_1993_1997","3.2"
"Armenia","PercentUnderweightChildrenLT5_1993_1997","5.1"
"Azerbaijan","PercentUnderweightChildrenLT5_1993_1997","8.8"
"Bahrain","PercentUnderweightChildrenLT5_1993_1997","7.6"
"Bangladesh","PercentUnderweightChildrenLT5_1993_1997","55.2"
"Belarus","PercentUnderweightChildrenLT5_1993_1997","2.4"
"Benin","PercentUnderweightChildrenLT5_1993_1997","26.2"
"Bhutan","PercentUnderweightChildrenLT5_1993_1997","24.5"
"Bolivia","PercentUnderweightChildrenLT5_1993_1997","9.2"
"Bosnia & Herzegovina","PercentUnderweightChildrenLT5_1993_1997","3.5"
"Botswana","PercentUnderweightChildrenLT5_1993_1997","15.1"
"Brazil","PercentUnderweightChildrenLT5_1993_1997","4.5"
"Bulgaria","PercentUnderweightChildrenLT5_1993_1997","3.1"
"Burkina Faso","PercentUnderweightChildrenLT5_1993_1997","29.6"
"Burundi","PercentUnderweightChildrenLT5_1993_1997","37.1"
"Cambodia","PercentUnderweightChildrenLT5_1993_1997","42.6"
"Cameroon","PercentUnderweightChildrenLT5_1993_1997","19.3"
"Central African Republic","PercentUnderweightChildrenLT5_1993_1997","22.2"
"Chad","PercentUnderweightChildrenLT5_1993_1997","34.3"
"Chile","PercentUnderweightChildrenLT5_1993_1997","0.8"
"China","PercentUnderweightChildrenLT5_1993_1997","10.7"
"Colombia","PercentUnderweightChildrenLT5_1993_1997","6.3"
"Comoros","PercentUnderweightChildrenLT5_1993_1997","21.1"
"Congo, Dem. Rep.","PercentUnderweightChildrenLT5_1993_1997","30.7"
"Congo, Rep.","PercentUnderweightChildrenLT5_1993_1997","11.7"
"Costa Rica","PercentUnderweightChildrenLT5_1993_1997","2.9"
"Croatia","PercentUnderweightChildrenLT5_1993_1997","0.5"
"Cuba","PercentUnderweightChildrenLT5_1993_1997","4.2"
"Côte d'Ivoire","PercentUnderweightChildrenLT5_1993_1997","20.3"
"Djibouti","PercentUnderweightChildrenLT5_1993_1997","16"
"Dominican Republic","PercentUnderweightChildrenLT5_1993_1997","4.7"
"Ecuador","PercentUnderweightChildrenLT5_1993_1997","12"
"Egypt, Arab Rep.","PercentUnderweightChildrenLT5_1993_1997","10.8"
"El Salvador","PercentUnderweightChildrenLT5_1993_1997","7.2"
"Eritrea","PercentUnderweightChildrenLT5_1993_1997","39.6"
"Estonia","PercentUnderweightChildrenLT5_1993_1997","1.7"
"Ethiopia","PercentUnderweightChildrenLT5_1993_1997","42.7"
"Fiji","PercentUnderweightChildrenLT5_1993_1997","6.9"
"Gabon","PercentUnderweightChildrenLT5_1993_1997","8.4"
"Gambia, The","PercentUnderweightChildrenLT5_1993_1997","23.2"
"Georgia","PercentUnderweightChildrenLT5_1993_1997","3.6"
"Ghana","PercentUnderweightChildrenLT5_1993_1997","25.8"
"Guatemala","PercentUnderweightChildrenLT5_1993_1997","21.7"
"Guinea","PercentUnderweightChildrenLT5_1993_1997","21.2"
"Guinea-Bissau","PercentUnderweightChildrenLT5_1993_1997","21.2"
"Guyana","PercentUnderweightChildrenLT5_1993_1997","13.2"
"Haiti","PercentUnderweightChildrenLT5_1993_1997","24"
"Honduras","PercentUnderweightChildrenLT5_1993_1997","17.7"
"India","PercentUnderweightChildrenLT5_1993_1997","44.8"
"Indonesia","PercentUnderweightChildrenLT5_1993_1997","30.3"
"Iran, Islamic Rep.","PercentUnderweightChildrenLT5_1993_1997","13.8"
"Iraq","PercentUnderweightChildrenLT5_1993_1997","10.9"
"Jamaica","PercentUnderweightChildrenLT5_1993_1997","4"
"Jordan","PercentUnderweightChildrenLT5_1993_1997","3.8"
"Kazakhstan","PercentUnderweightChildrenLT5_1993_1997","4.4"
"Kenya","PercentUnderweightChildrenLT5_1993_1997","19.8"
"Kuwait","PercentUnderweightChildrenLT5_1993_1997","9.2"
"Kyrgyz Republic","PercentUnderweightChildrenLT5_1993_1997","10.4"
"Lao PDR","PercentUnderweightChildrenLT5_1993_1997","35.9"
"Latvia","PercentUnderweightChildrenLT5_1993_1997","0.9"
"Lebanon","PercentUnderweightChildrenLT5_1993_1997","3.5"
"Lesotho","PercentUnderweightChildrenLT5_1993_1997","18.9"
"Liberia","PercentUnderweightChildrenLT5_1993_1997","21.6"
"Libya","PercentUnderweightChildrenLT5_1993_1997","4.3"
"Lithuania","PercentUnderweightChildrenLT5_1993_1997","1.4"
"Macedonia, FYR","PercentUnderweightChildrenLT5_1993_1997","2.1"
"Madagascar","PercentUnderweightChildrenLT5_1993_1997","30.4"
"Malawi","PercentUnderweightChildrenLT5_1993_1997","26.5"
"Malaysia","PercentUnderweightChildrenLT5_1993_1997","17.7"
"Mali","PercentUnderweightChildrenLT5_1993_1997","30.8"
"Mauritania","PercentUnderweightChildrenLT5_1993_1997","32.7"
"Mauritius","PercentUnderweightChildrenLT5_1993_1997","13"
"Mexico","PercentUnderweightChildrenLT5_1993_1997","10.3"
"Moldova","PercentUnderweightChildrenLT5_1993_1997","4.6"
"Mongolia","PercentUnderweightChildrenLT5_1993_1997","12.3"
"Montenegro","PercentUnderweightChildrenLT5_1993_1997",NA
"Morocco","PercentUnderweightChildrenLT5_1993_1997","7.7"
"Mozambique","PercentUnderweightChildrenLT5_1993_1997","23.9"
"Myanmar","PercentUnderweightChildrenLT5_1993_1997","38.7"
"Namibia","PercentUnderweightChildrenLT5_1993_1997","20.1"
"Nepal","PercentUnderweightChildrenLT5_1993_1997","42.6"
"Nicaragua","PercentUnderweightChildrenLT5_1993_1997","9.6"
"Niger","PercentUnderweightChildrenLT5_1993_1997","40"
"Nigeria","PercentUnderweightChildrenLT5_1993_1997","35.1"
"North Korea","PercentUnderweightChildrenLT5_1993_1997","25.8"
"Oman","PercentUnderweightChildrenLT5_1993_1997","10.4"
"Pakistan","PercentUnderweightChildrenLT5_1993_1997","34.2"
"Panama","PercentUnderweightChildrenLT5_1993_1997","6.3"
"Papua New Guinea","PercentUnderweightChildrenLT5_1993_1997","19.8"
"Paraguay","PercentUnderweightChildrenLT5_1993_1997","3.2"
"Peru","PercentUnderweightChildrenLT5_1993_1997","5.7"
"Philippines","PercentUnderweightChildrenLT5_1993_1997","26.3"
"Qatar","PercentUnderweightChildrenLT5_1993_1997","4.8"
"Romania","PercentUnderweightChildrenLT5_1993_1997","3.8"
"Russian Federation","PercentUnderweightChildrenLT5_1993_1997","2.6"
"Rwanda","PercentUnderweightChildrenLT5_1993_1997","22.6"
"Saudi Arabia","PercentUnderweightChildrenLT5_1993_1997","12.9"
"Senegal","PercentUnderweightChildrenLT5_1993_1997","19.6"
"Serbia","PercentUnderweightChildrenLT5_1993_1997",NA
"Sierra Leone","PercentUnderweightChildrenLT5_1993_1997","25.2"
"Slovak Republic","PercentUnderweightChildrenLT5_1993_1997","4.3"
"Somalia","PercentUnderweightChildrenLT5_1993_1997",NA
"South Africa","PercentUnderweightChildrenLT5_1993_1997","8"
"Sri Lanka","PercentUnderweightChildrenLT5_1993_1997","28.3"
"Sudan (former)","PercentUnderweightChildrenLT5_1993_1997","31.8"
"Suriname","PercentUnderweightChildrenLT5_1993_1997","10.1"
"Swaziland","PercentUnderweightChildrenLT5_1993_1997","7.5"
"Syrian Arab Republic","PercentUnderweightChildrenLT5_1993_1997","11.3"
"Tajikistan","PercentUnderweightChildrenLT5_1993_1997","17.1"
"Tanzania","PercentUnderweightChildrenLT5_1993_1997","26.9"
"Thailand","PercentUnderweightChildrenLT5_1993_1997","15.4"
"Timor-Leste","PercentUnderweightChildrenLT5_1993_1997",NA
"Togo","PercentUnderweightChildrenLT5_1993_1997","16.7"
"Trinidad & Tobago","PercentUnderweightChildrenLT5_1993_1997","4.4"
"Tunisia","PercentUnderweightChildrenLT5_1993_1997","8.1"
"Turkey","PercentUnderweightChildrenLT5_1993_1997","9"
"Turkmenistan","PercentUnderweightChildrenLT5_1993_1997","12.1"
"Uganda","PercentUnderweightChildrenLT5_1993_1997","20.8"
"Ukraine","PercentUnderweightChildrenLT5_1993_1997","2.2"
"Uruguay","PercentUnderweightChildrenLT5_1993_1997","3.9"
"Uzbekistan","PercentUnderweightChildrenLT5_1993_1997","13.3"
"Venezuela, RB","PercentUnderweightChildrenLT5_1993_1997","4.1"
"Vietnam","PercentUnderweightChildrenLT5_1993_1997","40.6"
"Yemen, Rep.","PercentUnderweightChildrenLT5_1993_1997","40.9"
"Zambia","PercentUnderweightChildrenLT5_1993_1997","19.6"
"Zimbabwe","PercentUnderweightChildrenLT5_1993_1997","11.8"
"Afghanistan","PercentUnderweightChildrenLT5_1998_2002","36.5"
"Albania","PercentUnderweightChildrenLT5_1998_2002","17"
"Algeria","PercentUnderweightChildrenLT5_1998_2002","5.4"
"Angola","PercentUnderweightChildrenLT5_1998_2002","27.5"
"Argentina","PercentUnderweightChildrenLT5_1998_2002","2.4"
"Armenia","PercentUnderweightChildrenLT5_1998_2002","2.6"
"Azerbaijan","PercentUnderweightChildrenLT5_1998_2002","14"
"Bahrain","PercentUnderweightChildrenLT5_1998_2002",NA
"Bangladesh","PercentUnderweightChildrenLT5_1998_2002","45.3"
"Belarus","PercentUnderweightChildrenLT5_1998_2002","1.1"
"Benin","PercentUnderweightChildrenLT5_1998_2002","21.5"
"Bhutan","PercentUnderweightChildrenLT5_1998_2002","14.1"
"Bolivia","PercentUnderweightChildrenLT5_1998_2002","5.9"
"Bosnia & Herzegovina","PercentUnderweightChildrenLT5_1998_2002","4.2"
"Botswana","PercentUnderweightChildrenLT5_1998_2002","10.7"
"Brazil","PercentUnderweightChildrenLT5_1998_2002","3.2"
"Bulgaria","PercentUnderweightChildrenLT5_1998_2002","2.6"
"Burkina Faso","PercentUnderweightChildrenLT5_1998_2002","33.7"
"Burundi","PercentUnderweightChildrenLT5_1998_2002","38.9"
"Cambodia","PercentUnderweightChildrenLT5_1998_2002","39.5"
"Cameroon","PercentUnderweightChildrenLT5_1998_2002","17.3"
"Central African Republic","PercentUnderweightChildrenLT5_1998_2002","21.8"
"Chad","PercentUnderweightChildrenLT5_1998_2002","29.4"
"Chile","PercentUnderweightChildrenLT5_1998_2002","0.7"
"China","PercentUnderweightChildrenLT5_1998_2002","7.4"
"Colombia","PercentUnderweightChildrenLT5_1998_2002","4.9"
"Comoros","PercentUnderweightChildrenLT5_1998_2002","25"
"Congo, Dem. Rep.","PercentUnderweightChildrenLT5_1998_2002","33.6"
"Congo, Rep.","PercentUnderweightChildrenLT5_1998_2002","10.4"
"Costa Rica","PercentUnderweightChildrenLT5_1998_2002","1.9"
"Croatia","PercentUnderweightChildrenLT5_1998_2002","0.5"
"Cuba","PercentUnderweightChildrenLT5_1998_2002","3.4"
"Côte d'Ivoire","PercentUnderweightChildrenLT5_1998_2002","18.2"
"Djibouti","PercentUnderweightChildrenLT5_1998_2002","25.4"
"Dominican Republic","PercentUnderweightChildrenLT5_1998_2002","3.5"
"Ecuador","PercentUnderweightChildrenLT5_1998_2002","12.5"
"Egypt, Arab Rep.","PercentUnderweightChildrenLT5_1998_2002","9.8"
"El Salvador","PercentUnderweightChildrenLT5_1998_2002","9.6"
"Eritrea","PercentUnderweightChildrenLT5_1998_2002","34.5"
"Estonia","PercentUnderweightChildrenLT5_1998_2002","0.9"
"Ethiopia","PercentUnderweightChildrenLT5_1998_2002","42"
"Fiji","PercentUnderweightChildrenLT5_1998_2002","6.2"
"Gabon","PercentUnderweightChildrenLT5_1998_2002","8.8"
"Gambia, The","PercentUnderweightChildrenLT5_1998_2002","15.4"
"Georgia","PercentUnderweightChildrenLT5_1998_2002","2.7"
"Ghana","PercentUnderweightChildrenLT5_1998_2002","20.3"
"Guatemala","PercentUnderweightChildrenLT5_1998_2002","19.6"
"Guinea","PercentUnderweightChildrenLT5_1998_2002","29.1"
"Guinea-Bissau","PercentUnderweightChildrenLT5_1998_2002","21.9"
"Guyana","PercentUnderweightChildrenLT5_1998_2002","11.9"
"Haiti","PercentUnderweightChildrenLT5_1998_2002","13.9"
"Honduras","PercentUnderweightChildrenLT5_1998_2002","12.5"
"India","PercentUnderweightChildrenLT5_1998_2002","46.3"
"Indonesia","PercentUnderweightChildrenLT5_1998_2002","23.3"
"Iran, Islamic Rep.","PercentUnderweightChildrenLT5_1998_2002","9.5"
"Iraq","PercentUnderweightChildrenLT5_1998_2002","12.9"
"Jamaica","PercentUnderweightChildrenLT5_1998_2002","3.8"
"Jordan","PercentUnderweightChildrenLT5_1998_2002","3.6"
"Kazakhstan","PercentUnderweightChildrenLT5_1998_2002","3.8"
"Kenya","PercentUnderweightChildrenLT5_1998_2002","17.5"
"Kuwait","PercentUnderweightChildrenLT5_1998_2002","2.2"
"Kyrgyz Republic","PercentUnderweightChildrenLT5_1998_2002","5.2"
"Lao PDR","PercentUnderweightChildrenLT5_1998_2002","36.4"
"Latvia","PercentUnderweightChildrenLT5_1998_2002","1.2"
"Lebanon","PercentUnderweightChildrenLT5_1998_2002","3.6"
"Lesotho","PercentUnderweightChildrenLT5_1998_2002","15"
"Liberia","PercentUnderweightChildrenLT5_1998_2002","22.8"
"Libya","PercentUnderweightChildrenLT5_1998_2002","4.7"
"Lithuania","PercentUnderweightChildrenLT5_1998_2002","0.9"
"Macedonia, FYR","PercentUnderweightChildrenLT5_1998_2002","1.9"
"Madagascar","PercentUnderweightChildrenLT5_1998_2002","38.9"
"Malawi","PercentUnderweightChildrenLT5_1998_2002","21.5"
"Malaysia","PercentUnderweightChildrenLT5_1998_2002","16.7"
"Mali","PercentUnderweightChildrenLT5_1998_2002","30.1"
"Mauritania","PercentUnderweightChildrenLT5_1998_2002","30.4"
"Mauritius","PercentUnderweightChildrenLT5_1998_2002","11.5"
"Mexico","PercentUnderweightChildrenLT5_1998_2002","6"
"Moldova","PercentUnderweightChildrenLT5_1998_2002","4.1"
"Mongolia","PercentUnderweightChildrenLT5_1998_2002","11.6"
"Montenegro","PercentUnderweightChildrenLT5_1998_2002",NA
"Morocco","PercentUnderweightChildrenLT5_1998_2002","6.8"
"Mozambique","PercentUnderweightChildrenLT5_1998_2002","23"
"Myanmar","PercentUnderweightChildrenLT5_1998_2002","30.1"
"Namibia","PercentUnderweightChildrenLT5_1998_2002","20.3"
"Nepal","PercentUnderweightChildrenLT5_1998_2002","43"
"Nicaragua","PercentUnderweightChildrenLT5_1998_2002","7.8"
"Niger","PercentUnderweightChildrenLT5_1998_2002","43.6"
"Nigeria","PercentUnderweightChildrenLT5_1998_2002","24.7"
"North Korea","PercentUnderweightChildrenLT5_1998_2002","24.7"
"Oman","PercentUnderweightChildrenLT5_1998_2002","11.3"
"Pakistan","PercentUnderweightChildrenLT5_1998_2002","31.3"
"Panama","PercentUnderweightChildrenLT5_1998_2002","5.4"
"Papua New Guinea","PercentUnderweightChildrenLT5_1998_2002","17.8"
"Paraguay","PercentUnderweightChildrenLT5_1998_2002","4"
"Peru","PercentUnderweightChildrenLT5_1998_2002","5.2"
"Philippines","PercentUnderweightChildrenLT5_1998_2002","28.3"
"Qatar","PercentUnderweightChildrenLT5_1998_2002","0.8"
"Romania","PercentUnderweightChildrenLT5_1998_2002","3.7"
"Russian Federation","PercentUnderweightChildrenLT5_1998_2002","2.2"
"Rwanda","PercentUnderweightChildrenLT5_1998_2002","20.3"
"Saudi Arabia","PercentUnderweightChildrenLT5_1998_2002","7.6"
"Senegal","PercentUnderweightChildrenLT5_1998_2002","20.3"
"Serbia","PercentUnderweightChildrenLT5_1998_2002",NA
"Sierra Leone","PercentUnderweightChildrenLT5_1998_2002","24.7"
"Slovak Republic","PercentUnderweightChildrenLT5_1998_2002","3.7"
"Somalia","PercentUnderweightChildrenLT5_1998_2002","22.8"
"South Africa","PercentUnderweightChildrenLT5_1998_2002","9.8"
"Sri Lanka","PercentUnderweightChildrenLT5_1998_2002","22.8"
"Sudan (former)","PercentUnderweightChildrenLT5_1998_2002","38.4"
"Suriname","PercentUnderweightChildrenLT5_1998_2002","11.4"
"Swaziland","PercentUnderweightChildrenLT5_1998_2002","9.1"
"Syrian Arab Republic","PercentUnderweightChildrenLT5_1998_2002","6"
"Tajikistan","PercentUnderweightChildrenLT5_1998_2002","16.8"
"Tanzania","PercentUnderweightChildrenLT5_1998_2002","25.3"
"Thailand","PercentUnderweightChildrenLT5_1998_2002","8.4"
"Timor-Leste","PercentUnderweightChildrenLT5_1998_2002","40.6"
"Togo","PercentUnderweightChildrenLT5_1998_2002","23.8"
"Trinidad & Tobago","PercentUnderweightChildrenLT5_1998_2002","4.4"
"Tunisia","PercentUnderweightChildrenLT5_1998_2002","3.5"
"Turkey","PercentUnderweightChildrenLT5_1998_2002","7"
"Turkmenistan","PercentUnderweightChildrenLT5_1998_2002","10.5"
"Uganda","PercentUnderweightChildrenLT5_1998_2002","19"
"Ukraine","PercentUnderweightChildrenLT5_1998_2002","4.1"
"Uruguay","PercentUnderweightChildrenLT5_1998_2002","4.7"
"Uzbekistan","PercentUnderweightChildrenLT5_1998_2002","7.1"
"Venezuela, RB","PercentUnderweightChildrenLT5_1998_2002","3.9"
"Vietnam","PercentUnderweightChildrenLT5_1998_2002","28.9"
"Yemen, Rep.","PercentUnderweightChildrenLT5_1998_2002","42.5"
